,id,year,name,rating,votes,description,genres,stars,writes,cast,directors,release_day,country,language,filming_locations,budget,total_gross,duration
21,622,1909,In the Sultan's Power (1909) ,0,0,"Jack Thornton, an American traveler, while touring Europe meets the daughter of an old French nobleman and falls in love with her. He is persistent in his suit for her hand, but outside of ...
                    See full summary »",Adventure | Short,"[('Hobart Bosworth', 98376), ('Betty Harte', 98376), ('Tom Santschi | See full cast & crew\xa0»', 98376)]",,"[{'star': 'Hobart Bosworth', 'star_id': 98376, 'character': None, 'character_id': None}, {'star': 'Betty Harte', 'star_id': 366609, 'character': None, 'character_id': None}, {'star': 'Tom Santschi', 'star_id': 764346, 'character': None, 'character_id': None}, {'star': 'Stella Adams', 'star_id': 11370, 'character': None, 'character_id': None}, {'star': 'Frank Montgomery', 'star_id': 599781, 'character': None, 'character_id': None}, {'star': 'E. Vivian', 'star_id': 1320386, 'character': None, 'character_id': None}, {'star': 'Robert Z. Leonard', 'star_id': 502752, 'character': None, 'character_id': None}]","[('Francis Boggs', 91767)]",17-Jun-09,USA,None | English,Selig Studio - 1845 Allesandro Street | Edendale | Silver Lake | Los Angeles | California | USA,,,
22,623,1906,En ny hat til Madammen (1906) ,6,6,No description.,Short | Comedy,"[('Jean Hersholt', 380965)]",,"[{'star': 'Jean Hersholt', 'star_id': 380965, 'character': None, 'character_id': None}]","[('Viggo Larsen', 488932)]",14-Nov-06,Denmark,None,,,,
23,624,1908,'Ostler Joe (1908) ,6.1,14,"A fine pictorial rendering of this well-known poem, which teaches a good lesson in its contrast between the simple life and the temptations of a great city.",Short | Drama,"[('Edward Dillon', 226992), ('D.W. Griffith', 226992), (""Anthony O'Sullivan | See full cast & crew\xa0»"", 226992)]","[('D.W. Griffith', 428)]","[{'star': 'Edward Dillon', 'star_id': 226992, 'character': 'Husband', 'character_id': 627}, {'star': 'D.W. Griffith', 'star_id': 428, 'character': 'Lover', 'character_id': 627}, {'star': ""Anthony O'Sullivan"", 'star_id': 642722, 'character': 'Wedding Guest', 'character_id': 627}, {'star': 'Harry Solter', 'star_id': 813603, 'character': 'Wedding Guest', 'character_id': 627}]","[('Wallace McCutcheon', 567363)]",9-Jun-08,USA,None | English,,,,
24,625,1908,Antony and Cleopatra (1908) ,3.7,10,The story of the ill-fated love affair between Marc Antony and Cleopatra.,Short | Drama | History,"[('Maurice Costello', 7221), ('Florence Lawrence', 7221), ('William V. Ranous | See full cast & crew\xa0»', 7221)]","[('William Shakespeare (play)', 636)]","[{'star': 'Maurice Costello', 'star_id': 7221, 'character': 'Marc Antony', 'character_id': 634}, {'star': 'Florence Lawrence', 'star_id': 492757, 'character': 'Cleopatra', 'character_id': 634}, {'star': 'William V. Ranous', 'star_id': 710362, 'character': 'Octavius Caesar', 'character_id': 634}, {'star': 'Charles Chapman', 'star_id': 152323, 'character': 'Mark Anthony', 'character_id': 634}, {'star': 'Betty Kent', 'star_id': 448667, 'character': 'Cleopatra', 'character_id': 634}, {'star': 'William Phillips', 'star_id': 680887, 'character': 'Octavius Caesar', 'character_id': 634}]","[('J. Stuart Blackton', 85865), ('Charles Kent', 85865)]",3-Nov-08,USA,None | English,,,,
25,626,1908,Amor que mata (1908) ,5.3,35,No description.,Short,"[('L. As', 38260), ('Joaquín Carrasco', 38260), ('Señora Guerra | See full cast & crew\xa0»', 38260)]","[('Fructuós Gelabert', 5717), ('José Vives (play)', 5717)]","[{'star': 'L. As', 'star_id': 38260, 'character': None, 'character_id': None}, {'star': 'Joaquín Carrasco', 'star_id': 140054, 'character': None, 'character_id': None}, {'star': 'Señora Guerra', 'star_id': 346090, 'character': None, 'character_id': None}, {'star': 'Metas', 'star_id': 582380, 'character': None, 'character_id': None}, {'star': 'María Miró', 'star_id': 592634, 'character': None, 'character_id': None}, {'star': 'P. Ortin', 'star_id': 651029, 'character': None, 'character_id': None}, {'star': 'Vicente Sirvent', 'star_id': 802955, 'character': None, 'character_id': None}, {'star': 'José Vives', 'star_id': 900293, 'character': None, 'character_id': None}]","[('Fructuós Gelabert', 5717)]",,Spain,None,,,,14
26,627,1908,The Bandit's Waterloo (1908) ,5.5,23,"The Outwitting of an Andalusian Brigand by a Pretty Senora. The hills of Southern Spain were infested by a gang of lawless freebooters who terrorized the country and made travel in the ...
                    See full summary »",Short | Action,"[('Charles Inslee', 409390), ('Linda Arvidson', 409390), ('Marion Leonard | See full cast & crew\xa0»', 409390)]","[('D.W. Griffith', 428)]","[{'star': 'Charles Inslee', 'star_id': 409390, 'character': 'Bandit Leader', 'character_id': 642}, {'star': 'Linda Arvidson', 'star_id': 38106, 'character': 'Accomplice', 'character_id': 642}, {'star': 'Marion Leonard', 'star_id': 502701, 'character': 'Kidnapped Woman', 'character_id': 642}, {'star': 'Harry Solter', 'star_id': 813603, 'character': 'Police Sergeant', 'character_id': 642}, {'star': 'Arthur V. Johnson', 'star_id': 424530, 'character': None, 'character_id': None}, {'star': 'Florence Lawrence', 'star_id': 492757, 'character': None, 'character_id': None}]","[('D.W. Griffith', 428)]",4-Aug-08,USA,None | English,,,,12
27,628,1907,O Rapto de Uma Actriz (1907) ,4.3,7,No description.,Short | Drama,"[('Lucinda do Carmo', 1729031), ('Carlos Leal', 1729031), ('Nascimento Fernandes | See full cast & crew\xa0»', 1729031)]",,"[{'star': 'Lucinda do Carmo', 'star_id': 1729031, 'character': 'Casal Fugitivo', 'character_id': 613}, {'star': 'Carlos Leal', 'star_id': 495051, 'character': 'Casal Fugitivo', 'character_id': 613}, {'star': 'Nascimento Fernandes', 'star_id': 272889, 'character': 'Policia Salalidade', 'character_id': 613}, {'star': 'Thomas Vieira', 'star_id': 1728086, 'character': None, 'character_id': None}, {'star': 'Acacio Antunes', 'star_id': 1726962, 'character': None, 'character_id': None}, {'star': 'Lino Ferreira', 'star_id': 274368, 'character': None, 'character_id': None}, {'star': 'Castelo Branco', 'star_id': 1209346, 'character': None, 'character_id': None}]","[('Lino Ferreira', 274368)]",3-Sep-07,Portugal,None,,,,
28,629,1907,Salaviinanpolttajat (1907) ,8,6,"Two local men who are making moonshine in the woods. A customer comes to them, and while sampling the product they start a game of cards, which eventually leads to a fight. While the fight ...
                    See full summary »",Comedy | Short,"[('Eero Kilpi', 453315), ('Teuvo Puro', 453315), ('Teppo Raikas | See full cast & crew\xa0»', 453315)]","[('Louis Sparre', 817086), ('J. V-s', 817086)]","[{'star': 'Eero Kilpi', 'star_id': 453315, 'character': 'Salapolttaja', 'character_id': 618}, {'star': 'Teuvo Puro', 'star_id': 700930, 'character': 'Junkkari', 'character_id': 618}, {'star': 'Teppo Raikas', 'star_id': 706854, 'character': 'Salapolttaja', 'character_id': 618}, {'star': 'Alex Rautio', 'star_id': 712213, 'character': 'Nimismiehen apulainen', 'character_id': 618}, {'star': 'Jussi Snellman', 'star_id': 811083, 'character': 'Nimismies', 'character_id': 618}]","[('Teuvo Puro', 700930), ('Louis Sparre', 700930)]",29-May-07,Finland,None,Mäntymäki | Töölö | Helsinki | Finland,,,20
29,630,1908,Othello (1908) ,5,11,The Moorish general Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his lieutenant Michael Cassio when in reality it is all part of the scheme of a bitter ensign named Iago.,Short | Drama | Romance,"[('Franz Porten', 691994), ('Henny Porten', 691994), ('Rosa Porten', 691994)]","[('William Shakespeare (play)', 636)]","[{'star': 'Franz Porten', 'star_id': 691994, 'character': 'Othello', 'character_id': 610}, {'star': 'Henny Porten', 'star_id': 691995, 'character': 'Desdemona', 'character_id': 610}, {'star': 'Rosa Porten', 'star_id': 691996, 'character': 'Emilia', 'character_id': 610}]","[('Franz Porten', 691994)]",1909,Germany,None | German,,,,
30,631,1907,Robbery Under Arms (1907) ,4.5,14,No description.,Drama,"[('Jim Gerald', 3071427), ('George Merriman', 3071427), ('Lance Vane | See full cast & crew\xa0»', 3071427)]","[('Rolf Boldrewood (novel)', 92809), ('Charles MacMahon', 92809)]","[{'star': 'Jim Gerald', 'star_id': 3071427, 'character': 'Warrigal', 'character_id': 615}, {'star': 'George Merriman', 'star_id': 581353, 'character': 'Warder', 'character_id': 615}, {'star': 'Lance Vane', 'star_id': 888988, 'character': 'Inspector of Police', 'character_id': 615}, {'star': 'William Duff', 'star_id': 240418, 'character': 'Trooper', 'character_id': 615}, {'star': 'Arthur Guest', 'star_id': 346387, 'character': 'Curate', 'character_id': 615}, {'star': 'Rhoda Dendron', 'star_id': 218953, 'character': None, 'character_id': None}]","[('Charles MacMahon', 533958)]",2-Nov-07,Australia,None,New South Wales | Australia,AUD1 | 000             (estimated),,
31,632,1908,After Many Years (1908) ,5.5,32,"John Davis, first mate of the brig ""Gifford,"" is seen bidding his wife and infant child a tearful adieu on the eve of the sailing of his ship. Caught in a terrible storm in the Pacific ...
                    See full summary »",Drama | Short,"[('Charles Inslee', 409390), ('Florence Lawrence', 409390), ('Harry Solter | See full cast & crew\xa0»', 409390)]","[('Alfred Lord Tennyson (story ""Enoch Arden"")', 855139), ('Frank E. Woods', 855139)]","[{'star': 'Charles Inslee', 'star_id': 409390, 'character': 'John Davis', 'character_id': 629}, {'star': 'Florence Lawrence', 'star_id': 492757, 'character': 'Mrs. John Davis', 'character_id': 629}, {'star': 'Harry Solter', 'star_id': 813603, 'character': 'Tom Foster', 'character_id': 629}, {'star': 'Gladys Egan', 'star_id': 250676, 'character': ""The Davis' Daughter"", 'character_id': 629}, {'star': 'Linda Arvidson', 'star_id': 38106, 'character': None, 'character_id': None}, {'star': 'Edward Dillon', 'star_id': 226992, 'character': None, 'character_id': None}, {'star': 'George Gebhardt', 'star_id': 311375, 'character': 'Sailor', 'character_id': 629}, {'star': 'Arthur V. Johnson', 'star_id': 424530, 'character': 'Member of the Rescue Rarty', 'character_id': 629}, {'star': 'Herbert Prior', 'star_id': 697944, 'character': None, 'character_id': None}, {'star': 'Mack Sennett', 'star_id': 784407, 'character': 'Sailor', 'character_id': 629}]","[('D.W. Griffith', 428)]",3-Nov-08,USA,None | English,Atlantic Highlands | New Jersey | USA,,,17
32,633,1907,Røverens brud (1907) ,4.6,16,"Tom, the young captain of robbers, and his sweetheart, Clara, are living in a small cottage in the wood. She is his good spirit. When his wild companions are coming for him, she always ...
                    See full synopsis »",Short | Drama,"[('Robert Storm Petersen', 676941), ('Clara Nebelong', 676941), ('Viggo Larsen | See full cast & crew\xa0»', 676941)]","[('Arnold Richard Nielsen', 630737)]","[{'star': 'Robert Storm Petersen', 'star_id': 676941, 'character': 'Roever, cowboy', 'character_id': 617}, {'star': 'Clara Nebelong', 'star_id': 623866, 'character': 'Roeverens kone', 'character_id': 617}, {'star': 'Viggo Larsen', 'star_id': 488932, 'character': None, 'character_id': None}, {'star': 'Oda Alstrup', 'star_id': 22608, 'character': None, 'character_id': None}]","[('Viggo Larsen', 488932)]",10-Mar-07,Denmark,None | Danish,Frederiksborg Slot | Hillerød | Hovedstaden | Denmark,,,
33,634,1906,Otello (1906) ,4.2,12,The Moorish general Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his lieutenant Michael Cassio when in reality it is all part of the scheme of a bitter ensign named Iago.,Short | Drama | Music,"[('Ubaldo Maria Del Colle', 215516), ('Maria Caserini', 215516), ('Mario Caserini | See full cast & crew\xa0»', 215516)]","[('William Shakespeare (play)', 636)]","[{'star': 'Ubaldo Maria Del Colle', 'star_id': 215516, 'character': 'Othello', 'character_id': 609}, {'star': 'Maria Caserini', 'star_id': 143332, 'character': 'Desdemona', 'character_id': 609}, {'star': 'Mario Caserini', 'star_id': 143333, 'character': 'Iago', 'character_id': 609}, {'star': 'Fernanda Negri Pouget', 'star_id': 624446, 'character': None, 'character_id': None}]","[('Mario Caserini', 143333), ('Gaston Velle', 143333)]",30-Oct-06,Italy,None | Italian,,,,
34,635,1908,Amleto (1908) ,0,0,"Hamlet suspects his uncle has murdered his father to claim the throne of Denmark and the hand of Hamlet's mother, but the prince cannot decide whether or not he should take vengeance.",Short | Drama,,"[('William Shakespeare (play)', 636)]",,"[('Luca Comerio', 173774)]",,Italy,None | Italian,,,,
35,636,1908,An Awful Moment (1908) ,4.3,79,"As a judge passes sentence on a man, a gypsy woman in the audience vehemently protests, and she has to be physically removed from the courtroom. Soon afterwards, the judge returns home, and...
                    See full summary »",Drama | Short,"[('George Gebhardt', 311375), ('Marion Leonard', 311375), ('Harry Solter | See full cast & crew\xa0»', 311375)]","[('D.W. Griffith', 428)]","[{'star': 'George Gebhardt', 'star_id': 311375, 'character': 'Matteo Rettazzi', 'character_id': 640}, {'star': 'Marion Leonard', 'star_id': 502701, 'character': ""Fiammetta - Matteo's Wife"", 'character_id': 640}, {'star': 'Harry Solter', 'star_id': 813603, 'character': 'Judge Mowbray', 'character_id': 640}, {'star': 'Florence Lawrence', 'star_id': 492757, 'character': 'Mrs. Mowbray', 'character_id': 640}, {'star': 'Gladys Egan', 'star_id': 250676, 'character': ""The Mowbrays' Daughter"", 'character_id': 640}, {'star': 'Linda Arvidson', 'star_id': 38106, 'character': 'The Maid', 'character_id': 640}, {'star': 'Florence Barker', 'star_id': 54884, 'character': None, 'character_id': None}, {'star': 'Dorothy Bernard', 'star_id': 76202, 'character': None, 'character_id': None}, {'star': 'Kate Bruce', 'star_id': 115524, 'character': None, 'character_id': None}, {'star': 'Charles Gorman', 'star_id': 331049, 'character': None, 'character_id': None}, {'star': 'Gertrude Robinson', 'star_id': 732651, 'character': 'Woman in Court', 'character_id': 640}, {'star': 'Mack Sennett', 'star_id': 784407, 'character': 'Policeman', 'character_id': 640}, {'star': 'Dorothy West', 'star_id': 922044, 'character': None, 'character_id': None}]","[('D.W. Griffith', 428)]",18-Dec-08,USA,None | English,,,,12
36,637,1908,Behind the Scenes (1908) ,5.3,18,"A mother works as a dancer to support her ill daughter. One night while performing, the mother has a vision of her child dying. She rushes home, but it is too late.",Short | Drama,"[('Florence Lawrence', 492757), ('Gladys Egan', 492757), ('Kate Bruce | See full cast & crew\xa0»', 492757)]","[('D.W. Griffith', 428)]","[{'star': 'Florence Lawrence', 'star_id': 492757, 'character': 'Mrs. Bailey', 'character_id': 644}, {'star': 'Gladys Egan', 'star_id': 250676, 'character': ""Mrs. Bailey's Daughter"", 'character_id': 644}, {'star': 'Kate Bruce', 'star_id': 115524, 'character': None, 'character_id': None}, {'star': 'George Gebhardt', 'star_id': 311375, 'character': 'Member of Audience', 'character_id': 644}, {'star': 'Robert Harron', 'star_id': 366008, 'character': 'Messenger', 'character_id': 644}, {'star': 'Charles Inslee', 'star_id': 409390, 'character': 'Manager', 'character_id': 644}, {'star': 'George Nichols', 'star_id': 629589, 'character': 'The Doctor', 'character_id': 644}, {'star': 'Mack Sennett', 'star_id': 784407, 'character': 'Backstage Man', 'character_id': 644}]","[('D.W. Griffith', 428)]",11-Sep-08,USA,None | English,,,,9
37,638,1910,Bjørnejagten (1910) ,0,0,No description.,Short | Comedy,"[('Victor Fabian', 1458507), ('Otto Lagoni', 1458507)]",,"[{'star': 'Victor Fabian', 'star_id': 1458507, 'character': None, 'character_id': None}, {'star': 'Otto Lagoni', 'star_id': 1459190, 'character': None, 'character_id': None}]",,1910,Denmark,None,,,,
38,639,1908,Bobby's Kodak (1908) ,0,0,"A boy takes pictures of everything, including some embarrassing situations. When he projects the pictures on a wall for everyone to see, his father spanks him and smashes the camera.",Short | Comedy,"[('Edward Dillon', 226992), ('Robert Harron', 226992)]",,"[{'star': 'Edward Dillon', 'star_id': 226992, 'character': 'Father', 'character_id': 649}, {'star': 'Robert Harron', 'star_id': 366008, 'character': 'Son', 'character_id': 649}]","[('Wallace McCutcheon', 567363)]",10-Feb-08,USA,None | English,,,,
39,640,1908,At the French Ball (1908) ,5.2,42,"A husband finishes packing a suitcase, and then says good-bye to his wife. As soon as he is gone, the wife has her maid help her to dress for a costume ball. Meanwhile, the husband meets a ...
                    See full summary »",Short | Comedy,"[('D.W. Griffith', 428), ('Linda Arvidson', 428), ('Edward Dillon | See full cast & crew\xa0»', 428)]",,"[{'star': 'D.W. Griffith', 'star_id': 428, 'character': 'Husband', 'character_id': 639}, {'star': 'Linda Arvidson', 'star_id': 38106, 'character': 'Wife', 'character_id': 639}]","[('Wallace McCutcheon', 567363)]",30-Jun-08,USA,None | English,,,,7
40,641,1908,"The Boy Detective, or The Abductors Foiled (1908) ",5.1,37,"As a newsboy is playing a game on the sidewalk with a friend, two men come near to them, and then stand in a position where they cannot be seen from the sidewalk. When an attractive woman ...
                    See full summary »",Short | Comedy | Drama,"[('Robert Harron', 366008), ('Edward Dillon', 366008)]",,"[{'star': 'Robert Harron', 'star_id': 366008, 'character': 'Swifty', 'character_id': 651}, {'star': 'Edward Dillon', 'star_id': 226992, 'character': 'Villain', 'character_id': 651}]","[('Wallace McCutcheon', 567363)]",11-Mar-08,USA,None | English,Hoboken | New Jersey | USA,,,5
41,642,1908,Antony and Cleopatra (1908) ,3.7,10,The story of the ill-fated love affair between Marc Antony and Cleopatra.,Short | Drama | History,"[('Maurice Costello', 7221), ('Florence Lawrence', 7221), ('William V. Ranous | See full cast & crew\xa0»', 7221)]","[('William Shakespeare (play)', 636)]","[{'star': 'Maurice Costello', 'star_id': 7221, 'character': 'Marc Antony', 'character_id': 634}, {'star': 'Florence Lawrence', 'star_id': 492757, 'character': 'Cleopatra', 'character_id': 634}, {'star': 'William V. Ranous', 'star_id': 710362, 'character': 'Octavius Caesar', 'character_id': 634}, {'star': 'Charles Chapman', 'star_id': 152323, 'character': 'Mark Anthony', 'character_id': 634}, {'star': 'Betty Kent', 'star_id': 448667, 'character': 'Cleopatra', 'character_id': 634}, {'star': 'William Phillips', 'star_id': 680887, 'character': 'Octavius Caesar', 'character_id': 634}]","[('J. Stuart Blackton', 85865), ('Charles Kent', 85865)]",3-Nov-08,USA,None | English,,,,
42,643,1908,At the Crossroads of Life (1908) ,5.3,34,"The daughter of a staid New England minister is brought up in absolute ignorance of the ways of the outside world, and, when she gets the slightest inkling of its glamour, it makes a ...
                    See full summary »",Short | Drama,"[('Linda Arvidson', 38106), ('Florence Auer', 38106), ('Edward Dillon | See full cast & crew\xa0»', 38106)]","[('D.W. Griffith', 428)]","[{'star': 'Linda Arvidson', 'star_id': 38106, 'character': None, 'character_id': None}, {'star': 'Florence Auer', 'star_id': 41669, 'character': 'Daughter', 'character_id': 638}, {'star': 'Edward Dillon', 'star_id': 226992, 'character': 'Manager', 'character_id': 638}, {'star': 'D.W. Griffith', 'star_id': 428, 'character': 'Suitor', 'character_id': 638}, {'star': 'Robert Harron', 'star_id': 366008, 'character': 'Messenger', 'character_id': 638}, {'star': 'Charles Inslee', 'star_id': 409390, 'character': 'Singer', 'character_id': 638}, {'star': 'Marion Leonard', 'star_id': 502701, 'character': 'Daughter', 'character_id': 638}, {'star': ""Anthony O'Sullivan"", 'star_id': 642722, 'character': 'Theatre Patron', 'character_id': 638}]","[('Wallace McCutcheon Jr.', 1266490)]",3-Jul-08,USA,None | English,,,,
43,644,1908,Balked at the Altar (1908) ,4.8,105,"Artemisia Sophia Stebbins was a lovelorn maiden who had delved deep into the mysteries of ""Three Weeks,"" as well as being conversant with the teachings of Laura Jean Libby. Her one hobby ...
                    See full summary »",Short | Comedy,"[('Mabel Stoughton', 832840), ('Linda Arvidson', 832840), ('George Gebhardt | See full cast & crew\xa0»', 832840)]","[('D.W. Griffith', 428)]","[{'star': 'Mabel Stoughton', 'star_id': 832840, 'character': 'Artemesia Sophia Stebbins', 'character_id': 641}, {'star': 'Linda Arvidson', 'star_id': 38106, 'character': None, 'character_id': None}, {'star': 'George Gebhardt', 'star_id': 311375, 'character': None, 'character_id': None}, {'star': 'D.W. Griffith', 'star_id': 428, 'character': None, 'character_id': None}, {'star': 'Robert Harron', 'star_id': 366008, 'character': None, 'character_id': None}, {'star': 'Arthur V. Johnson', 'star_id': 424530, 'character': None, 'character_id': None}, {'star': 'Mack Sennett', 'star_id': 784407, 'character': None, 'character_id': None}, {'star': 'Harry Solter', 'star_id': 813603, 'character': None, 'character_id': None}]","[('D.W. Griffith', 428)]",25-Aug-08,USA,None | English,Fort Lee | New Jersey | USA,,,12
44,645,1907,Le spectre rouge (1907) ,6.5,915,"A demonic magician attempts to perform his act in a strange grotto, but is confronted by a Good Spirit who opposes him.",Short | Fantasy | Horror,"[('Julienne Mathieu', 558863)]","[('Segundo de Chomón', 159015)]","[{'star': 'Julienne Mathieu', 'star_id': 558863, 'character': None, 'character_id': None}]","[('Segundo de Chomón', 159015), ('Ferdinand Zecca (co-director)', 159015)]",1907,France,None | French,,,,9
45,646,1907,That Fatal Sneeze (1907) ,6.4,525,"As an older man and a youth are eating at the table, the older man decides to amuse himself by using pepper to make the boy sneeze. Later, the boy retaliates by sneaking into the older ...
                    See full summary »",Short | Comedy | Fantasy,"[('Thurston Harris', 2140812), ('Gertie Potter', 2140812)]",,"[{'star': 'Thurston Harris', 'star_id': 2140812, 'character': 'Uncle', 'character_id': 621}, {'star': 'Gertie Potter', 'star_id': 693275, 'character': 'Nephew', 'character_id': 621}]","[('Lewin Fitzhamon', 280432)]",7-Jun,UK,None,,,,
46,647,1907,Løvejagten (1907) ,4.7,170,Two white hunters accompanied by their african servant go hunting in the african jungle. They see various animals and shoot a lion. Very early silent movie.,Drama | Short | Adventure,"[('Axel Graatkjær', 333175), ('Viggo Larsen', 333175), ('Knud Lumbye | See full cast & crew\xa0»', 333175)]","[('Arnold Richard Nielsen', 630737)]","[{'star': 'Axel Graatkjær', 'star_id': 333175, 'character': None, 'character_id': None}, {'star': 'Viggo Larsen', 'star_id': 488932, 'character': 'Løvejæger', 'character_id': 602}, {'star': 'Knud Lumbye', 'star_id': 525876, 'character': 'Løvejæger', 'character_id': 602}, {'star': 'William Thomsen', 'star_id': 4572288, 'character': 'Black Bearer', 'character_id': 602}]","[('Viggo Larsen', 488932)]",11-Nov-08,Denmark,None,Elleore | Roskilde Fjord | Denmark,,,10
47,648,1908,The Adventures of Dollie (1908) ,5.7,690,"On a warm and sunny summer's day, a mother and father take their young daughter Dollie on a riverside outing. A gypsy basket peddler happens along, and is angered when the mother refuses to...
                    See full summary »",Action | Short,"[('Arthur V. Johnson', 424530), ('Linda Arvidson', 424530), ('Gladys Egan | See full cast & crew\xa0»', 424530)]","[('Stanner E.V. Taylor', 853193)]","[{'star': 'Arthur V. Johnson', 'star_id': 424530, 'character': 'Father', 'character_id': 628}, {'star': 'Linda Arvidson', 'star_id': 38106, 'character': 'Mother', 'character_id': 628}, {'star': 'Gladys Egan', 'star_id': 250676, 'character': 'Dollie', 'character_id': 628}, {'star': 'Charles Inslee', 'star_id': 409390, 'character': 'Gypsy', 'character_id': 628}, {'star': 'Mrs. George Gebhardt', 'star_id': 1265835, 'character': ""Gypsy's Wife"", 'character_id': 628}]","[('D.W. Griffith', 428), ('G.W. Bitzer (uncredited)', 428)]",14-Jul-08,USA,None | English,Sound Beach | Connecticut | USA,1000,,12
48,649,1908,Betrayed by a Handprint (1908) ,5.2,109,"Mrs. Wharton, a dashing widow, gives a party at her beautiful villa in honor of the presentation to her of a handsome diamond necklace by her fiancé. During the evening bridge participated ...
                    See full summary »",Short | Crime,"[('Florence Lawrence', 492757), ('Harry Solter', 492757), ('Linda Arvidson | See full cast & crew\xa0»', 492757)]","[('D.W. Griffith', 428)]","[{'star': 'Florence Lawrence', 'star_id': 492757, 'character': 'Myrtle Vane', 'character_id': 645}, {'star': 'Harry Solter', 'star_id': 813603, 'character': 'Mr. Wharton', 'character_id': 645}, {'star': 'Linda Arvidson', 'star_id': 38106, 'character': 'The Maid', 'character_id': 645}, {'star': 'Kate Bruce', 'star_id': 115524, 'character': 'Mrs. Wharton (unconfirmed)', 'character_id': 645}, {'star': 'Gene Gauntier', 'star_id': 310155, 'character': 'Party Guest', 'character_id': 645}, {'star': 'George Gebhardt', 'star_id': 311375, 'character': 'The Palmister', 'character_id': 645}, {'star': 'Mack Sennett', 'star_id': 784407, 'character': 'The Butler', 'character_id': 645}]","[('D.W. Griffith', 428)]",1-Sep-08,USA,None | English,,,,9
49,650,1907,Il cane riconoscente (1907) ,0,0,No description.,Short,,,,"[('Carlo Montuori', 600341)]",7-Apr,Italy,None | Italian,,,,
50,651,1908,Los calzoncillos de Tony (1908) ,0,0,No description.,Short,"[('Alberto Bosch', 97743), ('María Clemente', 97743), ('Daroqui | See full cast & crew\xa0»', 97743)]","[('Fructuós Gelabert', 5717)]","[{'star': 'Alberto Bosch', 'star_id': 97743, 'character': None, 'character_id': None}, {'star': 'María Clemente', 'star_id': 166153, 'character': None, 'character_id': None}, {'star': 'Daroqui', 'star_id': 201558, 'character': None, 'character_id': None}, {'star': 'Luis Guilemany', 'star_id': 346933, 'character': None, 'character_id': None}, {'star': 'Juan Martí', 'star_id': 554499, 'character': None, 'character_id': None}, {'star': 'José Pubill', 'star_id': 699710, 'character': None, 'character_id': None}, {'star': 'Vicente Sirvent', 'star_id': 802955, 'character': None, 'character_id': None}, {'star': 'José Vives', 'star_id': 900293, 'character': None, 'character_id': None}]","[('Fructuós Gelabert', 5717)]",,Spain,None,,,,12
51,653,1908,Carreras de caballos de 1908 (1908) ,0,0,No description.,Short | Documentary,,,,"[('Fructuós Gelabert', 5717)]",,Spain,None,,,,10
52,654,1908,Caught by Wireless (1908) ,5.2,35,"In Ireland, Paddy is having troubles with his rent collector who has also made advances to Paddy's wife. The rent collector enlists the aid of the Black-and-Tans and Paddy has to flee to ...
                    See full summary »",Short | Drama,"[('D.W. Griffith', 428), ('Edward Dillon', 428)]",,"[{'star': 'D.W. Griffith', 'star_id': 428, 'character': 'Paddy - the Policeman', 'character_id': 659}, {'star': 'Edward Dillon', 'star_id': 226992, 'character': 'Rent Collector', 'character_id': 659}]","[('Wallace McCutcheon', 567363)]",21-Mar-08,USA,None | English,,,,10
53,655,1908,Corrida de toros con Ricardo Torres 'Bombita' (1908) ,0,0,No description.,Documentary | Short | Sport,,,,"[('Fructuós Gelabert', 5717)]",,Spain,None,,,,9
54,656,1908,Los competidores (1908) ,0,0,No description.,Short,"[('Luis Blanca', 86982), ('Fidel Dalmau', 86982), ('José Marques | See full cast & crew\xa0»', 86982)]","[('Fructuós Gelabert (screenplay)', 5717), ('Fructuós Gelabert (story)', 5717)]","[{'star': 'Luis Blanca', 'star_id': 86982, 'character': None, 'character_id': None}, {'star': 'Fidel Dalmau', 'star_id': 198154, 'character': None, 'character_id': None}, {'star': 'José Marques', 'star_id': 549760, 'character': None, 'character_id': None}, {'star': 'Antonio Plácido', 'star_id': 687752, 'character': None, 'character_id': None}]","[('Fructuós Gelabert', 5717)]",,Spain,None,,,,6
55,657,1908,El curioso impertinente (1908) ,0,0,No description.,Short,"[('Joaquín Carrasco', 140054), ('Francisco Tressols', 140054)]","[('Miguel de Cervantes y Saavedra (novel)', 148859), ('Narciso Cuyàs', 148859)]","[{'star': 'Joaquín Carrasco', 'star_id': 140054, 'character': None, 'character_id': None}, {'star': 'Francisco Tressols', 'star_id': 872279, 'character': None, 'character_id': None}]","[('Narciso Cuyàs', 194088)]",,Spain,None,,,,12
56,658,1908,Excursión a Montserrat (1908) ,0,0,No description.,Documentary | Short,,"[('Fructuós Gelabert', 5717)]",,"[('Fructuós Gelabert', 5717)]",,Spain,None,Montserrat | Barcelona | Catalonia | Spain,,,
57,659,1908,Corrida de toros con Antonio Fuentes (1908) ,5.8,20,No description.,Documentary | Short | Sport,,,,"[('Fructuós Gelabert', 5717)]",,Spain,None,,,,25
58,660,1908,Desdemona (1908) ,6.7,9,No description.,Short | Drama,"[('Henny Porten', 691995)]",,"[{'star': 'Henny Porten', 'star_id': 691995, 'character': None, 'character_id': None}]","[('Franz Porten', 691994)]",,Germany,None,,,,
