,id,year,name,rating,votes,description,genres,stars,writes,cast,directors,release_day,country,language,filming_locations,budget,total_gross,duration
14,15,1894,Autour d'une cabine (1894) ,6.1,849,Pre-cinematograph colour animation of a woman and man at the beach.,"['Animation', 'Short']",,,[],"[('Émile Reynaud', 721526)]",15 December 1894,France,None,,,,2
15,16,1895,Barque sortant du port (1895) ,5.9,1225,"A rowboat with three men is leaving a little harbor. Two of them are rowing the boat, while the third is sitting in the stern. All of them wear hats. They are passing the outer end of a ...
                    See full summary »","['Documentary', 'Short']","[('Mrs. Auguste Lumiere', 525900), ('Jeanne-Joséphine Lumière', 525900)]",,"[{'star': 'Mrs. Auguste Lumiere', 'star_id': 525900, 'character': 'Self (on the pier)', 'character_id': 16}, {'star': 'Jeanne-Joséphine Lumière', 'star_id': 9735581, 'character': 'Self (on the pier)', 'character_id': 16}]","[('Louis Lumière', 525910)]",1895,France,None,,,,1
16,17,1895,Italienischer Bauerntanz (1895) ,4.6,248,"Two children, Ploetz and Larella, perform an Italian peasant dance.","['Documentary', 'Short']","[('Ploetz', 3691272), ('Larella', 3691272)]",,"[{'star': 'Ploetz', 'star_id': 3691272, 'character': 'The boy', 'character_id': 17}, {'star': 'Larella', 'star_id': 3692829, 'character': 'The girl', 'character_id': 17}]","[('Emil Skladanowsky', 1587194), ('Max Skladanowsky', 1587194)]",1 November 1895,Germany,None,"['Feldschlösschen', 'Pankow', 'Berlin', 'Germany']",,,1
17,18,1895,Das boxende Känguruh (1895) ,5.3,492,"A man and a kangaroo stand up in front of each other with boxing gloves, and simulate a boxing match on a theatre stage.",['Short'],"[('Delaware', 3692071)]",,"[{'star': 'Delaware', 'star_id': 3692071, 'character': 'The Boxer', 'character_id': 18}]","[('Max Skladanowsky', 804434)]",1 November 1895,Germany,None,,,,1
18,19,1898,The Clown Barber (1898) ,5.3,19,Clown cuts off customer's head and replaces it.,"['Short', 'Comedy']",,,[],"[('James Williamson', 932055)]",August 1898,UK,None,,,,
19,20,1895,The Derby 1895 (1895) ,4.9,276,"A stationary camera, looking diagonally across a racetrack toward the infield, records the horses as they race past. Once they are out of view and the race is over, police officers run onto...
                    See full summary »","['Documentary', 'Short', 'Sport']",,,[],"[('Birt Acres', 10291)]",20 November 1895,UK,None,,,,1
20,21,1895,The Photographical Congress Arrives in Lyon (1895) ,5.7,1603,"From a boat descend the photographers who must partecipate in the congress of Lyone dividing in two diagonals to the right and left. After, someone greets the film operator.","['Documentary', 'Short']","[('Auguste Lumière', 525908), ('P.J.C. Janssen', 525908)]",,"[{'star': 'Auguste Lumière', 'star_id': 525908, 'character': 'Self', 'character_id': 13}]","[('Louis Lumière', 525910)]",12 June 1895,France,None,"['Lyon', 'Rhône', 'Rhône-Alpes', 'France']",,,1
21,22,1895,Blacksmith Scene (1895) ,5.1,913,"Two blacksmiths work while the vapors rise in the air. Later, another man arrives and offers a drink.","['Documentary', 'Short']",,,[],"[('Louis Lumière', 525910)]",28 June 1896,France,None,,,,1
22,23,1895,The Sea (1895) ,5.7,1174,"Several little boys run along a pier, then jump into the ocean.","['Documentary', 'Short']",,,[],"[('Louis Lumière', 525910)]",28 June 1896,France,None,,,,1
23,24,1895,Opening of the Kiel Canal (1895) ,4.4,58,No description.,"['Short', 'News']","[('Empress Augusta Victoria', 256651), ('Kaiser Wilhelm II', 256651)]",,"[{'star': 'Empress Augusta Victoria', 'star_id': 256651, 'character': 'Self - Empress of Gemany', 'character_id': 24}, {'star': 'Kaiser Wilhelm II', 'star_id': 435118, 'character': 'Self - Emperor of Germany', 'character_id': 24}]","[('Birt Acres', 10291)]",19 June 1895,UK,None,,,,
